input filename,count,PD number,start idx,end idx,Grouping_Envelope_Analysis,Energy_A5,Energy_D5,Energy_D4,Energy_D3,Energy_D2,Energy_D1,PC1,PC2,PC3,Simple PCA Feature Cluster ID
Ch3.csv,24,1.0,1660803,1667103,23,0.9950689483031387,0.000196383641125,0.0003160348439224,0.0006037066254778,0.0013003575059079,0.0025145690804279,-0.0024619113466818,-0.0008591180174951,-1.7873861439310357e-05,0
Ch3.csv,25,6.0,1738526,1744826,24,0.9931735203060872,0.0008334376624392,0.0004277327606922,0.0008321550104774,0.0015599311757218,0.0031732230845817,-0.0045442330994474,-0.0003922383435545,-5.655633324558318e-05,4
Ch3.csv,26,3.0,1760175,1766475,25,0.998933865593336,0.0004060755768232,8.576762277207057e-05,9.364308975781512e-05,0.000164553284688,0.0003160948326228,0.0020880156070911,-1.4038460045773247e-05,6.039360426979279e-06,10
Ch3.csv,27,4.0,1802582,1808882,26,0.9972040973992292,0.0016239630345116,0.0002543627911168,0.0001465185214053,0.0002567147873799,0.000514343466357,0.0003198264970073,0.0011806547820046,-1.5113032038355234e-05,17
Ch3.csv,28,2.0,1847824,1854124,27,0.9976718822299092,0.0011916999782303,0.0001894937848528,0.000155143180764,0.0002541179103263,0.0005376629159171,0.0007729004112394,0.0007281099624398,-2.3771372269415503e-05,23
Ch3.csv,29,6.0,1899676,1905976,28,0.9943656944765388,0.0011217119215593,0.0002940856330926,0.0006163825203533,0.0011736972027205,0.0024284282457353,-0.0031214747429656,9.776125289076564e-05,-0.0001475394020141,28
Ch3.csv,30,5.0,1910243,1916543,29,0.9987067532747316,4.868112212781666e-05,8.555989387794005e-05,0.0001667286192847,0.0003262114652347,0.0006660656247429,0.0017475066089174,-0.0004798823844038,5.384201499591956e-06,1
Ch3.csv,31,0.0,1916244,1922544,0,0.9965296242976784,0.0001145720601431,0.0002491647264486,0.0004376272158185,0.0009410492368888,0.0017279624630226,-0.0007605244461541,-0.0007131346690908,3.599379911689571e-05,29
Ch3.csv,32,2.0,1948621,1954921,30,0.9966394529783484,0.0027609745486594,0.0002721101693353,7.083889814306382e-05,8.70543310051219e-05,0.0001695690745086,-0.0001225227112428,0.0024300549910991,-0.0001048393341562,30
Ch3.csv,33,1.0,1968320,1974620,31,0.9931125966669884,0.0003004625839234,0.0005131320939646,0.0009396875971435,0.0017259119209974,0.0034082091369824,-0.0046832036838146,-0.0009816055113944,9.09612642814861e-05,24
Ch4.csv,1,1.0,48256,54556,1,0.995012873566488,0.000146383294826,0.0003518720329469,0.0006144923252425,0.0013495765296358,0.0025248022508605,-0.0025231371673407,-0.000907632942247,2.8824116492548457e-05,29
Ch4.csv,2,3.0,67963,74263,2,0.9992865012105822,3.591530302662865e-05,5.040131577211308e-05,9.779744872584528e-05,0.0001698339332665,0.0003595507886267,0.002421993692327,-0.0004047936382683,1.2248132900599671e-05,8
Ch4.csv,3,4.0,85758,92058,3,0.998560340568643,0.0008276419430393,0.0001372587407651,7.679595532692155e-05,0.0001384170155115,0.0002595457767139,0.001739761743227,0.0004361371741622,6.193130839826644e-06,3
Ch4.csv,4,3.0,132970,139270,4,0.997353256816284,0.0010721977304614,0.0002889695902259,0.0002207449931174,0.0003466191493165,0.0007182117205945,0.0004020381250424,0.0005744514047349,7.567290039223185e-05,15
Ch4.csv,5,1.0,202662,208962,5,0.9923374510539515,0.0002724855539136,0.00058338885589,0.0009948780631262,0.0019577527537062,0.0038540437194121,-0.0055967911891423,-0.0011362760566828,9.086438633934546e-05,24
Ch4.csv,6,5.0,325635,331935,6,0.9991301755723242,0.0001836695933945,6.160259468009851e-05,8.701168021375293e-05,0.0001744227367175,0.0003631178226698,0.0022663935764088,-0.0002564020732714,-8.675832950666429e-07,21
Ch4.csv,7,2.0,390751,397051,7,0.9990408178767282,0.0003351527088621,7.958359503047411e-05,8.094335577135424e-05,0.0001556628338625,0.0003078396297454,0.0021965998834407,-8.406938345995041e-05,6.5012975289380215e-06,20
Ch4.csv,8,1.0,561793,568093,8,0.9972856029473932,0.0001188536394058,0.0001673634542716,0.0003696035840757,0.0006812333098507,0.0013773430650025,0.0001084417489627,-0.0006105113204082,-1.522277047222298e-06,2
Ch4.csv,9,6.0,613813,620113,9,0.9951961618530372,0.0003976958930299,0.0003122682641414,0.000537694810917,0.0012171112383893,0.0023390679404849,-0.0022781940562905,-0.0006056624051595,-3.461638019250368e-05,9
Ch4.csv,10,4.0,710337,716637,10,0.9983805312299208,0.0004867917295712,0.0001411492620695,0.0001494977951993,0.0002764270751518,0.0005656029080873,0.0014611450643695,1.980595168260546e-06,1.6251681264123352e-05,7
Ch4.csv,11,6.0,717489,723789,11,0.9945314678675456,0.0001868086086521,0.0003392916020861,0.0006735127349356,0.0014727384205032,0.0027961807662773,-0.0030894092554315,-0.0009530677012917,-2.6045762002602224e-05,11
Ch4.csv,12,1.0,743778,750078,12,0.9949071724450133,0.000155964297133,0.0003325225807172,0.0006353434238104,0.0013461915262106,0.0026228057271154,-0.002656505080992,-0.0009286975484736,-8.351946131052168e-06,16
