frequency (Hz),MPD 600 1.1 (dBm)
2.675e+07,-158.161
2.67813e+07,-158.524
2.68125e+07,-160.733
2.68438e+07,-160.839
2.6875e+07,-160.841
2.69063e+07,-163.142
2.69375e+07,-166.506
2.69688e+07,-167.706
2.7e+07,-169.721
2.70313e+07,-174.908
2.70625e+07,-165.685
2.70938e+07,-162.092
2.7125e+07,-160.433
2.71563e+07,-158.97
2.71875e+07,-158.495
2.72188e+07,-160.701
2.725e+07,-165.816
2.72813e+07,-173.261
2.73125e+07,-179.065
2.73438e+07,-174.442
2.7375e+07,-166.649
2.74063e+07,-158.246
2.74375e+07,-154.769
2.74688e+07,-154.512
2.75e+07,-156.446
2.75313e+07,-159.575
2.75625e+07,-163.228
2.75938e+07,-165.674
2.7625e+07,-166.282
2.76563e+07,-166.503
2.76875e+07,-168.243
2.77188e+07,-165.699
2.775e+07,-163.712
2.77813e+07,-165.485
2.78125e+07,-172.634
2.78438e+07,-179.785
2.7875e+07,-171.599
2.79063e+07,-170.684
2.79375e+07,-171.59
2.79688e+07,-167.379
2.8e+07,-167.533
2.80313e+07,-174.095
2.80625e+07,-179.318
2.80938e+07,-170.904
2.8125e+07,-171.996
2.81563e+07,-176.622
2.81875e+07,-176.994
2.82188e+07,-169.996
2.825e+07,-167.55
2.82813e+07,-164.787
2.83125e+07,-163.368
2.83438e+07,-165.063
2.8375e+07,-164.645
2.84063e+07,-160.987
2.84375e+07,-162.99
2.84688e+07,-167.67
2.85e+07,-165.936
2.85313e+07,-162.197
2.85625e+07,-161.688
2.85938e+07,-163.469
2.8625e+07,-162.679
2.86563e+07,-159.76
2.86875e+07,-157.503
2.87188e+07,-156.622
2.875e+07,-158.381
2.87813e+07,-162.895
2.88125e+07,-163.649
2.88438e+07,-160.305
2.8875e+07,-160.998
2.89063e+07,-167.151
2.89375e+07,-172.672
2.89688e+07,-188.045
2.9e+07,-166.065
2.90313e+07,-160.48
2.90625e+07,-159.136
2.90938e+07,-158.498
2.9125e+07,-161.554
2.91563e+07,-170.114
2.91875e+07,-172.28
2.92188e+07,-177.745
2.925e+07,-176.468
2.92813e+07,-170.201
2.93125e+07,-165.413
2.93438e+07,-163.34
2.9375e+07,-160.408
2.94063e+07,-157.631
2.94375e+07,-156.989
2.94688e+07,-158.675
2.95e+07,-163.605
2.95313e+07,-180.515
2.95625e+07,-167.734
2.95938e+07,-161.624
2.9625e+07,-160.304
2.96563e+07,-163.384
2.96875e+07,-164.285
2.97188e+07,-163.78
2.975e+07,-164.555
2.97813e+07,-167.507
2.98125e+07,-183.705
2.98438e+07,-174.527
2.9875e+07,-172.342
2.99063e+07,-164.703
2.99375e+07,-161.636
2.99688e+07,-161.295
3e+07,-161.718
3.00313e+07,-160.665
3.00625e+07,-160.181
3.00938e+07,-161.682
3.0125e+07,-168.137
3.01563e+07,-176.969
3.01875e+07,-166.548
3.02188e+07,-163.482
3.025e+07,-161.32
3.02813e+07,-159.808
3.03125e+07,-159.247
3.03438e+07,-160.471
3.0375e+07,-164.784
3.04063e+07,-171.816
3.04375e+07,-165.961
3.04688e+07,-167.152
3.05e+07,-167.355
3.05313e+07,-168.643
3.05625e+07,-166.774
3.05938e+07,-164.03
3.0625e+07,-165.856
